"Index","en-US","cs-CZ","da-DK","de-DE","en-GB","es-ES","es-MX","et-EE","fi-FI","fr-CA","fr-FR","hr-HR","hu-HU","it-IT","lt-LT","lv-LV","nb-NO","nl-NL","pl-PL","pt-BR","pt-PT","ro-RO","sk-SK","sl-SI","sr-Latn-RS","sv-SE","tr-TR"
"10","File Read Operations/sec","Operace čtení souborů/s","Fillæsehandlinger pr. sekund","Lesevorgänge/s","File Read Operations/sec","Operaciones de lectura de archivo/s","Operaciones de lectura de archivo/s","File Read Operations/sec","Lukutoimintoja/s","Opérations de lecture de fichier/s","Opérations de lecture de fichier/s","File Read Operations/sec","Fájlolvasási gyakoriság (művelet/s)","Operazioni lettura file/sec","File Read Operations/sec","File Read Operations/sec","Lesing av fil/sek","Leesbewerkingen per seconde","Operacje odczytu plików/s","Operações de leitura de arquivo/s","Operações de leitura de ficheiro/seg","File Read Operations/sec","File Read Operations/sec","File Read Operations/sec","File Read Operations/sec","Filläsning - åtgärder/s","Dosya Okuma İşlemi/sn"
"100","Sync Pin Reads/sec","Synchronní čtení držení/s","Synkrone fastgjorte læsninger pr. sekund","Festsetzung - Lesevorgänge/s (sync.)","Sync Pin Reads/sec","Lecturas sincrónicas de anclaje/s","Lecturas sincrónicas de anclaje/s","Sync Pin Reads/sec","Synkr. kiinnityslukuja/s","Lectures d’épinglées sync/s","Lectures d’épinglées sync/s","Sync Pin Reads/sec","Szinkron rögzített beolvasások (lap/s)","Letture sincrone in pre-scrittura/sec","Sync Pin Reads/sec","Sync Pin Reads/sec","Synkrone leseoperasjoner med låsing/sek","Synchroon lezen van vastgehouden pagina's per seconde","Synchroniczne odczyty przypięć/s","Leituras fixadas síncronas/s","Leituras Síncronas de Afixação/seg","Sync Pin Reads/sec","Sync Pin Reads/sec","Sync Pin Reads/sec","Sync Pin Reads/sec","Synkrona låsta läsningar/s","Zaman Uyumlu Sabitlenen Okuma/sn"
"1000","MacFile Server","Server MacFile","MacFile-server","MacFile-Server","MacFile Server","Servidor MacFile","Servidor MacFile","MacFile Server","MacFile-palvelin","Serveur de fichiers Macintosh","Serveur de fichiers Macintosh","MacFile Server","MacFile-kiszolgáló","Server MacFile","MacFile Server","MacFile Server","MacFile-server","MacFile-server","Serwer MacFile","Servidor MacFile","Servidor MacFile","MacFile Server","MacFile Server","MacFile Server","MacFile Server","MacFile-server","MacFile Sunucusu"
"10000","Total Flushed Files","Vyprázdněné soubory (celkem)","","Entfernte Dateien insgesamt","Total Flushed Files","","","Total Flushed Files","","Total fichiers vidés","Total fichiers vidés","Total Flushed Files","Kiürített fájlok összesen","Totale file cancellati","Total Flushed Files","Total Flushed Files","","Totaal aantal leeggemaakte bestanden","Całkowita liczba opróżnionych plików","Total de Arquivos Liberados","Total de Ficheiros Descarregados","Total Flushed Files","Total Flushed Files","Total Flushed Files","Total Flushed Files","Antal rensade filhandtag sammanlagt","Boşaltılan Toplam Dosya Sayısı"
"10002","Current URIs Cached","Identifikátory URI v mezipaměti (aktuálně)","","Aktuell zwischengespeicherte URIs","Current URIs Cached","","","Current URIs Cached","","URI en cache","URI en cache","Current URIs Cached","Jelenleg gyorsítótárban levő URI-azonosítók","URI correnti nella cache","Current URIs Cached","Current URIs Cached","","Huidig aantal URI's in cache","Bieżąca liczba bloków URI w pamięci podręcznej","URIs Armazenados em Cache Atualmente","URI Atuais em Cache","Current URIs Cached","Current URIs Cached","Current URIs Cached","Current URIs Cached","Aktuella cachelagrade URI:er","Önbelleğe Alınan Geçerli URI Sayısı"
"10004","Total URIs Cached","Identifikátory URI v mezipaměti (celkem)","","Zwischengespeicherte URIs insgesamt","Total URIs Cached","","","Total URIs Cached","","Total URI en cache","Total URI en cache","Total URIs Cached","Gyorsítótárba helyezett URI-azonosítók összesen","Totale URI nella cache","Total URIs Cached","Total URIs Cached","","Totaal aantal URI's in cache","Całkowita liczba bloków URI w pamięci podręcznej","Total de URIs no Cache","Total de URI em Cache","Total URIs Cached","Total URIs Cached","Total URIs Cached","Total URIs Cached","Cachelagrade URI:er sammanlagt","Önbelleğe Alınan Toplam URI Sayısı"
"10006","URI Cache Hits","Přístupy do mezipaměti identifikátorů URI","","URI-Cachetreffer","URI Cache Hits","","","URI Cache Hits","","Correspondances dans le cache URI","Correspondances dans le cache URI","URI Cache Hits","Találatok száma az URI-gyorsítótárban","Riscontri URI nella cache","URI Cache Hits","URI Cache Hits","","Treffers in URI-cache","Trafienia w pamięci podręcznej URI","Acertos do Cache de URI","Pedidos com Êxito na Cache de URI","URI Cache Hits","URI Cache Hits","URI Cache Hits","URI Cache Hits","URI-cacheträffar","URI İsabetli Önbellek Okuma Sayısı"
"10008","URI Cache Misses","Neúspěšné přístupy do mezipaměti identifikátorů URI","","URI-Cachefehler","URI Cache Misses","","","URI Cache Misses","","Échecs dans le cache URI","Échecs dans le cache URI","URI Cache Misses","Tévesztések száma az URI-gyorsítótárban","Mancati riscontri URI nella cache","URI Cache Misses","URI Cache Misses","","Missers in URI-cache","Chybienia w pamięci podręcznej URI","Erros de Cache de URI","Pedidos sem Êxito na Cache de URI","URI Cache Misses","URI Cache Misses","URI Cache Misses","URI Cache Misses","URI-cachemissar","URI İsabetsiz Önbellek Okuma Sayısı"
"10010","URI Cache Flushes","Vyprázdnění mezipaměti identifikátorů URI","","URI-Cacheleerungen","URI Cache Flushes","","","URI Cache Flushes","","Vidages du cache URI","Vidages du cache URI","URI Cache Flushes","URI-gyorsítótár kiürítéseinek száma","Cancellazioni degli URI dalla cache","URI Cache Flushes","URI Cache Flushes","","Leegmaakacties van URI-cache","Opróżnienia pamięci podręcznej URI","Liberações de Cache URI","Esvaziamentos da Cache de URI","URI Cache Flushes","URI Cache Flushes","URI Cache Flushes","URI Cache Flushes","URI-cacherensningar","URI Önbelleği Boşaltma Sayısı"
"10012","Total Flushed URIs","Vyprázdněné identifikátory URI (celkem)","","Entfernte URIs insgesamt","Total Flushed URIs","","","Total Flushed URIs","","Total des vidages du cache URI","Total des vidages du cache URI","Total Flushed URIs","Kiürített URI-azonosítók összesen","Totale URI cancellati","Total Flushed URIs","Total Flushed URIs","","Totaal aantal leeggemaakte URI's","Całkowita liczba opróżnionych bloków URI","Total de URIs Liberados","Total de URI Descarregados","Total Flushed URIs","Total Flushed URIs","Total Flushed URIs","Total Flushed URIs","URI-rensningar sammanlagt","Toplam Boşaltılan URI Sayısı"
